seqid,phobius_start,phobius_end,phobius_type
TRIREDRAFT_102411-t26_1,27,48,TM
TRIREDRAFT_102437-t26_1,3,13,SP
TRIREDRAFT_102441-t26_1,6,16,SP
TRIREDRAFT_102487-t26_1,6,23,TM
TRIREDRAFT_102489-t26_1,4,15,SP
TRIREDRAFT_102500-t26_1,7,18,SP
TRIREDRAFT_102582-t26_1,38,59,TM
TRIREDRAFT_102617-t26_1,13,20,SP
TRIREDRAFT_102738-t26_1,27,37,SP
TRIREDRAFT_102820-t26_1,7,14,SP
TRIREDRAFT_102836-t26_1,28,49,TM
TRIREDRAFT_102837-t26_1,4,14,SP
TRIREDRAFT_102850-t26_1,5,16,SP
TRIREDRAFT_102851-t26_1,8,17,SP
TRIREDRAFT_102871-t26_1,20,43,TM
TRIREDRAFT_102908-t26_1,4,15,SP
TRIREDRAFT_102938-t26_1,3,14,SP
TRIREDRAFT_102964-t26_1,38,57,TM
TRIREDRAFT_103009-t26_1,3,12,SP
TRIREDRAFT_103016-t26_1,4,11,SP
TRIREDRAFT_103033-t26_1,6,13,SP
TRIREDRAFT_103039-t26_1,4,15,SP
TRIREDRAFT_103045-t26_1,20,45,TM
TRIREDRAFT_103049-t26_1,4,16,SP
TRIREDRAFT_103050-t26_1,8,19,SP
TRIREDRAFT_103080-t26_1,10,21,SP
TRIREDRAFT_103127-t26_1,12,38,TM
TRIREDRAFT_103130.R114,12,33,TM
TRIREDRAFT_103135-t26_1,3,11,SP
TRIREDRAFT_103136-t26_1,4,11,SP
TRIREDRAFT_103162-t26_1,3,12,SP
TRIREDRAFT_103174-t26_1,2,13,SP
TRIREDRAFT_103205-t26_1,7,17,SP
TRIREDRAFT_103215-t26_1,41,59,TM
TRIREDRAFT_103236-t26_1,10,18,SP
TRIREDRAFT_103356-t26_1,33,54,TM
TRIREDRAFT_103393-t26_1,6,17,SP
TRIREDRAFT_103423-t26_1,3,12,SP
TRIREDRAFT_103458-t26_1,4,15,SP
TRIREDRAFT_103487-t26_1,12,31,TM
TRIREDRAFT_103579-t26_1,20,41,TM
TRIREDRAFT_103694-t26_1,19,39,TM
TRIREDRAFT_103712-t26_1,6,36,TM
TRIREDRAFT_103740-t26_1,3,14,SP
TRIREDRAFT_103825-t26_1,2,12,SP
TRIREDRAFT_103850-t26_1,6,34,TM
TRIREDRAFT_103865.R50,15,26,SP
TRIREDRAFT_103866-t26_1,4,12,SP
TRIREDRAFT_103886-t26_1,21,44,TM
TRIREDRAFT_103995-t26_1,6,17,SP
TRIREDRAFT_104050-t26_1,4,12,SP
TRIREDRAFT_104060-t26_1,5,12,SP
TRIREDRAFT_104061-t26_1,3,13,SP
TRIREDRAFT_104067-t26_1,4,13,SP
TRIREDRAFT_104072-t26_1,4,15,SP
TRIREDRAFT_104077-t26_1,26,47,TM
TRIREDRAFT_104079-t26_1,6,14,SP
TRIREDRAFT_104084-t26_1,6,22,TM
TRIREDRAFT_104106-t26_1,10,19,SP
TRIREDRAFT_104121-t26_1,21,39,TM
TRIREDRAFT_104159-t26_1,26,46,TM
TRIREDRAFT_104168-t26_1,12,29,TM
TRIREDRAFT_104173-t26_1,5,13,SP
TRIREDRAFT_104179-t26_1,6,17,SP
TRIREDRAFT_104181-t26_1,4,13,SP
