"seqid","window_length","window_start","window_end","window_type","window_origin","KD_hydropathy","KD_max_hydropathy","rose_hydropathy","rose_max_hydropathy","Hessa_hydropathy","Hessa_max_hydropathy"
"YCR101C",14,3,16,"SP","phobius",40.2888888888889,2.87777777777778,11.6822222222222,0.834444444444444,3.12666666666667,0.223333333333333
"YHR215W",9,4,12,"SP","phobius",17,1.88888888888889,7,0.777777777777778,3.83,0.425555555555556
"YBL095W",23,12,34,"TM","phobius",46.2555555555556,2.01111111111111,18.4255555555556,0.801111111111111,30.1811111111111,1.31222222222222
"YDR329C",22,18,39,"TM","phobius",50.6,2.3,17.7955555555556,0.808888888888889,16.9155555555556,0.768888888888889
"YCR061W",12,4,15,"SP","phobius",26.5333333333333,2.21111111111111,9.69333333333333,0.807777777777778,2.76,0.23
"YPL119C-A",23,20,42,"TM","phobius",58.7777777777778,2.55555555555556,19.1922222222222,0.834444444444444,14.8733333333333,0.646666666666667
"YBR067C",12,7,18,"SP","phobius",32.5333333333333,2.71111111111111,9.64,0.803333333333333,6.88,0.573333333333333
"YDL222C",22,6,27,"TM","phobius",69.4222222222222,3.15555555555556,18.5533333333333,0.843333333333333,15.6933333333333,0.713333333333333
"YMR296C",22,25,46,"TM","phobius",27.8666666666667,1.26666666666667,17.82,0.81,20.3622222222222,0.925555555555556
"YFR018C",11,11,21,"SP","phobius",29.3333333333333,2.66666666666667,8.99555555555555,0.817777777777778,5.78111111111111,0.525555555555556
"YKL183C-A",28,12,39,"TM","phobius",70.3111111111111,2.51111111111111,23.3644444444444,0.834444444444445,30.4888888888889,1.08888888888889
"YGR121C",21,20,40,"TM","phobius",58.5666666666667,2.78888888888889,17.2666666666667,0.822222222222222,10.6166666666667,0.505555555555556
"YML075C",21,29,49,"TM","phobius",62.5333333333333,2.97777777777778,17.5933333333333,0.837777777777778,24.1033333333333,1.14777777777778
"YER061C",12,5,16,"SP","phobius",29.2,2.43333333333333,9.81333333333333,0.817777777777778,8.88,0.74
"YDR262W",12,7,18,"SP","phobius",26.6666666666667,2.22222222222222,9.92,0.826666666666667,7.66666666666667,0.638888888888889
"YLR411W",17,44,60,"TM","phobius",52.1333333333333,3.06666666666667,14.3744444444444,0.845555555555556,14.96,0.88
"YPR026W",19,42,60,"TM","phobius",63.5444444444444,3.34444444444444,16.2766666666667,0.856666666666667,29.26,1.54
"YMR274C",19,6,24,"TM","phobius",53.4111111111111,2.81111111111111,15.77,0.83,24.1088888888889,1.26888888888889
"YJL038C",17,6,22,"TM","phobius",43.0666666666667,2.53333333333333,14.1288888888889,0.831111111111111,19.9277777777778,1.17222222222222
"YHR028C",19,27,45,"TM","phobius",69.4555555555556,3.65555555555556,16.1077777777778,0.847777777777778,14.6933333333333,0.773333333333333
"YIL043C",20,6,25,"TM","phobius",85.3333333333333,4.26666666666667,17.2888888888889,0.864444444444445,16.2888888888889,0.814444444444445
"YGR231C",22,38,59,"TM","phobius",47.9111111111111,2.17777777777778,17.6244444444444,0.801111111111111,20.7288888888889,0.942222222222222
"YDR402C",11,6,16,"SP","phobius",34.3444444444444,3.12222222222222,9.31333333333333,0.846666666666667,2.33444444444445,0.212222222222222
"YNR044W",12,8,19,"SP","phobius",27.6,2.3,9.8,0.816666666666667,3.6,0.3
"YOR365C",8,12,19,"SP","phobius",21.0666666666667,2.63333333333333,6.63111111111111,0.828888888888889,4.27555555555556,0.534444444444444
"YIL005W",12,8,19,"SP","phobius",31.0666666666667,2.58888888888889,9.98666666666667,0.832222222222222,9.68,0.806666666666667
"YNR040W",19,41,59,"TM","phobius",44.3333333333333,2.33333333333333,15.2844444444444,0.804444444444444,22.04,1.16
