seqid,phobius_start,phobius_end,phobius_type
tr|A0A1B2JGP0|A0A1B2JGP0_PICPA,22,42,TM
tr|A0A1B2J5A4|A0A1B2J5A4_PICPA,4,14,SP
tr|A0A1B2J5K4|A0A1B2J5K4_PICPA,12,33,TM
tr|A0A1B2J6W6|A0A1B2J6W6_PICPA,18,37,TM
tr|A0A1B2J6Y4|A0A1B2J6Y4_PICPA,7,18,SP
tr|A0A1B2J7C2|A0A1B2J7C2_PICPA,12,35,TM
tr|A0A1B2J827|A0A1B2J827_PICPA,6,25,TM
tr|A0A1B2J874|A0A1B2J874_PICPA,2,13,SP
tr|A0A1B2J8R4|A0A1B2J8R4_PICPA,7,29,TM
tr|A0A1B2J935|A0A1B2J935_PICPA,5,13,SP
tr|A0A1B2J9L1|A0A1B2J9L1_PICPA,4,12,SP
tr|A0A1B2JA31|A0A1B2JA31_PICPA,8,19,SP
tr|A0A1B2JAP2|A0A1B2JAP2_PICPA,12,35,TM
tr|A0A1B2JAQ0|A0A1B2JAQ0_PICPA,5,15,SP
tr|A0A1B2JB90|A0A1B2JB90_PICPA,27,47,TM
tr|A0A1B2JBV4|A0A1B2JBV4_PICPA,12,32,TM
tr|A0A1B2JD64|A0A1B2JD64_PICPA,16,23,SP
tr|A0A1B2JD84|A0A1B2JD84_PICPA,6,24,TM
tr|A0A1B2JDU6|A0A1B2JDU6_PICPA,34,55,TM
tr|A0A1B2JE11|A0A1B2JE11_PICPA,20,38,TM
tr|A0A1B2JEF7|A0A1B2JEF7_PICPA,4,11,SP
tr|A0A1B2JEQ1|A0A1B2JEQ1_PICPA,18,29,SP
tr|A0A1B2JGG7|A0A1B2JGG7_PICPA,3,10,SP
tr|A0A1B2JGR3|A0A1B2JGR3_PICPA,3,11,SP
tr|A0A1B2JGX8|A0A1B2JGX8_PICPA,3,13,SP
tr|A0A1B2JH92|A0A1B2JH92_PICPA,5,12,SP
tr|A0A1B2JHD1|A0A1B2JHD1_PICPA,8,19,SP
tr|A0A1B2JHJ8|A0A1B2JHJ8_PICPA,9,17,SP
tr|A0A1B2JHP1|A0A1B2JHP1_PICPA,6,25,TM
tr|A0A1B2JI42|A0A1B2JI42_PICPA,5,16,SP
tr|A0A1B2JIJ1|A0A1B2JIJ1_PICPA,4,15,SP
tr|A0A1B2JIZ4|A0A1B2JIZ4_PICPA,3,14,SP
tr|A0A1B2JJE0|A0A1B2JJE0_PICPA,7,16,SP
tr|Q96X16|Q96X16_PICPA,3,13,SP
tr|A0A1B2J530|A0A1B2J530_PICPA,34,55,TM
tr|A0A1B2J533|A0A1B2J533_PICPA,15,33,TM
tr|A0A1B2J534|A0A1B2J534_PICPA,6,28,TM
tr|A0A1B2J575|A0A1B2J575_PICPA,12,41,TM
tr|A0A1B2J581|A0A1B2J581_PICPA,20,38,TM
tr|A0A1B2J5A3|A0A1B2J5A3_PICPA,10,22,SP
tr|A0A1B2J5C5|A0A1B2J5C5_PICPA,6,23,TM
tr|A0A1B2J5F2|A0A1B2J5F2_PICPA,6,14,SP
tr|A0A1B2J5G1|A0A1B2J5G1_PICPA,7,18,SP
tr|A0A1B2J5G4|A0A1B2J5G4_PICPA,35,55,TM
tr|A0A1B2J5H2|A0A1B2J5H2_PICPA,12,32,TM
tr|A0A1B2J5H5|A0A1B2J5H5_PICPA,10,18,SP
tr|A0A1B2J5H7|A0A1B2J5H7_PICPA,15,33,TM
tr|A0A1B2J5J8|A0A1B2J5J8_PICPA,32,56,TM
tr|A0A1B2J5L7|A0A1B2J5L7_PICPA,2,13,SP
tr|A0A1B2J5P4|A0A1B2J5P4_PICPA,12,28,TM
tr|A0A1B2J5P6|A0A1B2J5P6_PICPA,12,20,SP
tr|A0A1B2J5Q2|A0A1B2J5Q2_PICPA,14,33,TM
tr|A0A1B2J5T0|A0A1B2J5T0_PICPA,8,19,SP
tr|A0A1B2J5Y9|A0A1B2J5Y9_PICPA,38,57,TM
tr|A0A1B2J601|A0A1B2J601_PICPA,7,31,TM
tr|A0A1B2J611|A0A1B2J611_PICPA,16,39,TM
tr|A0A1B2J636|A0A1B2J636_PICPA,2,13,SP
tr|A0A1B2J648|A0A1B2J648_PICPA,35,54,TM
tr|A0A1B2J663|A0A1B2J663_PICPA,12,19,SP
tr|A0A1B2J681|A0A1B2J681_PICPA,7,16,SP
tr|A0A1B2J687|A0A1B2J687_PICPA,3,13,SP
tr|A0A1B2J691|A0A1B2J691_PICPA,6,29,TM
tr|A0A1B2J698|A0A1B2J698_PICPA,8,21,SP
tr|A0A1B2J699|A0A1B2J699_PICPA,31,50,TM
tr|A0A1B2J6B3|A0A1B2J6B3_PICPA,33,54,TM
tr|A0A1B2J6B8|A0A1B2J6B8_PICPA,6,27,TM
tr|A0A1B2J6L0|A0A1B2J6L0_PICPA,3,14,SP
tr|A0A1B2J6M1|A0A1B2J6M1_PICPA,6,29,TM
tr|A0A1B2J6W0|A0A1B2J6W0_PICPA,3,13,SP
tr|A0A1B2J6W2|A0A1B2J6W2_PICPA,4,15,SP
tr|A0A1B2J726|A0A1B2J726_PICPA,12,34,TM
tr|A0A1B2J730|A0A1B2J730_PICPA,2,12,SP
tr|A0A1B2J737|A0A1B2J737_PICPA,2,7,SP
tr|A0A1B2J755|A0A1B2J755_PICPA,5,13,SP
tr|A0A1B2J764|A0A1B2J764_PICPA,7,24,TM
tr|A0A1B2J777|A0A1B2J777_PICPA,6,17,SP
tr|A0A1B2J788|A0A1B2J788_PICPA,6,23,TM
tr|A0A1B2J789|A0A1B2J789_PICPA,5,15,SP
tr|A0A1B2J794|A0A1B2J794_PICPA,3,10,SP
tr|A0A1B2J798|A0A1B2J798_PICPA,5,15,SP
tr|A0A1B2J7A6|A0A1B2J7A6_PICPA,6,21,TM
tr|A0A1B2J7A8|A0A1B2J7A8_PICPA,16,23,SP
tr|A0A1B2J7B7|A0A1B2J7B7_PICPA,4,15,SP
tr|A0A1B2J7D0|A0A1B2J7D0_PICPA,7,25,TM
tr|A0A1B2J7D6|A0A1B2J7D6_PICPA,12,29,TM
tr|A0A1B2J7F0|A0A1B2J7F0_PICPA,36,54,TM
tr|A0A1B2J7G8|A0A1B2J7G8_PICPA,4,12,SP
tr|A0A1B2J7H1|A0A1B2J7H1_PICPA,4,15,SP
tr|A0A1B2J7P6|A0A1B2J7P6_PICPA,2,11,SP
tr|A0A1B2J7Q2|A0A1B2J7Q2_PICPA,4,15,SP
tr|A0A1B2J7R4|A0A1B2J7R4_PICPA,4,15,SP
tr|A0A1B2J7S0|A0A1B2J7S0_PICPA,4,15,SP
tr|A0A1B2J7U1|A0A1B2J7U1_PICPA,36,58,TM
tr|A0A1B2J838|A0A1B2J838_PICPA,15,33,TM
tr|A0A1B2J844|A0A1B2J844_PICPA,12,31,TM
tr|A0A1B2J845|A0A1B2J845_PICPA,6,13,SP
tr|A0A1B2J849|A0A1B2J849_PICPA,7,18,SP
tr|A0A1B2J869|A0A1B2J869_PICPA,6,16,SP
tr|A0A1B2J8B6|A0A1B2J8B6_PICPA,7,26,TM
tr|A0A1B2J8E2|A0A1B2J8E2_PICPA,22,34,SP
tr|A0A1B2J8F3|A0A1B2J8F3_PICPA,6,26,TM
tr|A0A1B2J8H2|A0A1B2J8H2_PICPA,22,41,TM
tr|A0A1B2J8I3|A0A1B2J8I3_PICPA,6,27,TM
tr|A0A1B2J8I8|A0A1B2J8I8_PICPA,3,13,SP
tr|A0A1B2J8J5|A0A1B2J8J5_PICPA,12,32,TM
tr|A0A1B2J8J6|A0A1B2J8J6_PICPA,4,12,SP
tr|A0A1B2J8J9|A0A1B2J8J9_PICPA,27,52,TM
tr|A0A1B2J8K9|A0A1B2J8K9_PICPA,6,14,SP
tr|A0A1B2J8N0|A0A1B2J8N0_PICPA,6,15,SP
